Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Joint 7
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5102.534307662574,93986.92979163733,-7150.619925670194,171586.0877336804,-3308.533823516771,2667.8674914294397,27.98852158763761
-5102.534307662574,93986.92979163733,-7150.619925670194,171586.0877336804,-3308.533823516771,2667.8674914294397,27.98852158763761
-5102.534307662574,93986.92979163733,-7150.619925670194,171586.0877336804,-3308.533823516771,2667.8674914294397,27.98852158763761
-5102.534307662574,93986.92979163733,-7150.619925670194,171586.0877336804,-3308.533823516771,2667.8674914294397,27.98852158763761
-5102.534307662574,93986.92979163733,-7150.619925670194,171586.0877336804,-3308.533823516771,2667.8674914294397,27.98852158763761
-5102.534307662574,93986.92979163733,-7150.619925670194,171586.0877336804,-3308.533823516771,2667.8674914294397,27.98852158763761
-5102.534307662574,93986.92979163733,-7150.619925670194,171586.0877336804,-3308.533823516771,2667.8674914294397,27.98852158763761
-5102.534307662574,93986.92979163733,-7150.619925670194,171586.0877336804,-3308.533823516771,2667.8674914294397,27.98852158763761
-5102.534307662574,93986.92979163733,-7150.619925670194,171586.0877336804,-3308.533823516771,2667.8674914294397,27.98852158763761
-5102.534307662574,93986.92979163733,-7150.619925670194,171586.0877336804,-3308.533823516771,2667.8674914294397,27.98852158763761
3763.2181019164927,-2139.0934983130683,-21977.320651232465,-270.7836674597086,7017.812318870506,738.255434423992,-1317.8046522661607
3763.2181019164927,-2139.0934983130683,-21977.320651232465,-270.7836674597086,7017.812318870506,738.255434423992,-1317.8046522661607
3763.2181019164927,-2139.0934983130683,-21977.320651232465,-270.7836674597086,7017.812318870506,738.255434423992,-1317.8046522661607
3763.2181019164927,-2139.0934983130683,-21977.320651232465,-270.7836674597086,7017.812318870506,738.255434423992,-1317.8046522661607
3763.2181019164927,-2139.0934983130683,-21977.320651232465,-270.7836674597086,7017.812318870506,738.255434423992,-1317.8046522661607
3763.2181019164927,-2139.0934983130683,-21977.320651232465,-270.7836674597086,7017.812318870506,738.255434423992,-1317.8046522661607
3763.2181019164927,-2139.0934983130683,-21977.320651232465,-270.7836674597086,7017.812318870506,738.255434423992,-1317.8046522661607
3763.2181019164927,-2139.0934983130683,-21977.320651232465,-270.7836674597086,7017.812318870506,738.255434423992,-1317.8046522661607
3763.2181019164927,-2139.0934983130683,-21977.320651232465,-270.7836674597086,7017.812318870506,738.255434423992,-1317.8046522661607
3763.2181019164927,-2139.0934983130683,-21977.320651232465,-270.7836674597086,7017.812318870506,738.255434423992,-1317.8046522661607
2657.9447849396333,2975.9174114840944,12516.634483350288,-128.44500074875302,380.38169244908715,295.39341869581904,-124.74615484107828
2657.9447849396333,2975.9174114840944,12516.634483350288,-128.44500074875302,380.38169244908715,295.39341869581904,-124.74615484107828
2657.9447849396333,2975.9174114840944,12516.634483350288,-128.44500074875302,380.38169244908715,295.39341869581904,-124.74615484107828
2657.9447849396333,2975.9174114840944,12516.634483350288,-128.44500074875302,380.38169244908715,295.39341869581904,-124.74615484107828
2657.9447849396333,2975.9174114840944,12516.634483350288,-128.44500074875302,380.38169244908715,295.39341869581904,-124.74615484107828
2657.9447849396333,2975.9174114840944,12516.634483350288,-128.44500074875302,380.38169244908715,295.39341869581904,-124.74615484107828
2657.9447849396333,2975.9174114840944,12516.634483350288,-128.44500074875302,380.38169244908715,295.39341869581904,-124.74615484107828
2657.9447849396333,2975.9174114840944,12516.634483350288,-128.44500074875302,380.38169244908715,295.39341869581904,-124.74615484107828
2657.9447849396333,2975.9174114840944,12516.634483350288,-128.44500074875302,380.38169244908715,295.39341869581904,-124.74615484107828
2657.9447849396333,2975.9174114840944,12516.634483350288,-128.44500074875302,380.38169244908715,295.39341869581904,-124.74615484107828
2695.8699870946007,-566.9089871910162,-4842.434240001346,492.7936060417979,-339.20497405850483,175.76878933568673,30.261067820548114
2695.8699870946007,-566.9089871910162,-4842.434240001346,492.7936060417979,-339.20497405850483,175.76878933568673,30.261067820548114
2695.8699870946007,-566.9089871910162,-4842.434240001346,492.7936060417979,-339.20497405850483,175.76878933568673,30.261067820548114
2695.8699870946007,-566.9089871910162,-4842.434240001346,492.7936060417979,-339.20497405850483,175.76878933568673,30.261067820548114
2695.8699870946007,-566.9089871910162,-4842.434240001346,492.7936060417979,-339.20497405850483,175.76878933568673,30.261067820548114
2695.8699870946007,-566.9089871910162,-4842.434240001346,492.7936060417979,-339.20497405850483,175.76878933568673,30.261067820548114
2695.8699870946007,-566.9089871910162,-4842.434240001346,492.7936060417979,-339.20497405850483,175.76878933568673,30.261067820548114
2695.8699870946007,-566.9089871910162,-4842.434240001346,492.7936060417979,-339.20497405850483,175.76878933568673,30.261067820548114
2695.8699870946007,-566.9089871910162,-4842.434240001346,492.7936060417979,-339.20497405850483,175.76878933568673,30.261067820548114
2695.8699870946007,-566.9089871910162,-4842.434240001346,492.7936060417979,-339.20497405850483,175.76878933568673,30.261067820548114
-220.90321129657355,719.7247995017086,2991.4165677736833,301.1122648882552,-149.13928043520613,-52.63912625976827,15.363880257627384
-220.90321129657355,719.7247995017086,2991.4165677736833,301.1122648882552,-149.13928043520613,-52.63912625976827,15.363880257627384
-220.90321129657355,719.7247995017086,2991.4165677736833,301.1122648882552,-149.13928043520613,-52.63912625976827,15.363880257627384
-220.90321129657355,719.7247995017086,2991.4165677736833,301.1122648882552,-149.13928043520613,-52.63912625976827,15.363880257627384
-220.90321129657355,719.7247995017086,2991.4165677736833,301.1122648882552,-149.13928043520613,-52.63912625976827,15.363880257627384
-220.90321129657355,719.7247995017086,2991.4165677736833,301.1122648882552,-149.13928043520613,-52.63912625976827,15.363880257627384
-220.90321129657355,719.7247995017086,2991.4165677736833,301.1122648882552,-149.13928043520613,-52.63912625976827,15.363880257627384
-220.90321129657355,719.7247995017086,2991.4165677736833,301.1122648882552,-149.13928043520613,-52.63912625976827,15.363880257627384
-220.90321129657355,719.7247995017086,2991.4165677736833,301.1122648882552,-149.13928043520613,-52.63912625976827,15.363880257627384
-220.90321129657355,719.7247995017086,2991.4165677736833,301.1122648882552,-149.13928043520613,-52.63912625976827,15.363880257627384
514.8825380151278,-248.84673993995614,-684.1001413952781,373.7221713358603,-450.0118114147272,-15.143055237353588,16.383162841479116
514.8825380151278,-248.84673993995614,-684.1001413952781,373.7221713358603,-450.0118114147272,-15.143055237353588,16.383162841479116
514.8825380151278,-248.84673993995614,-684.1001413952781,373.7221713358603,-450.0118114147272,-15.143055237353588,16.383162841479116
514.8825380151278,-248.84673993995614,-684.1001413952781,373.7221713358603,-450.0118114147272,-15.143055237353588,16.383162841479116
514.8825380151278,-248.84673993995614,-684.1001413952781,373.7221713358603,-450.0118114147272,-15.143055237353588,16.383162841479116
514.8825380151278,-248.84673993995614,-684.1001413952781,373.7221713358603,-450.0118114147272,-15.143055237353588,16.383162841479116
514.8825380151278,-248.84673993995614,-684.1001413952781,373.7221713358603,-450.0118114147272,-15.143055237353588,16.383162841479116
514.8825380151278,-248.84673993995614,-684.1001413952781,373.7221713358603,-450.0118114147272,-15.143055237353588,16.383162841479116
514.8825380151278,-248.84673993995614,-684.1001413952781,373.7221713358603,-450.0118114147272,-15.143055237353588,16.383162841479116
514.8825380151278,-248.84673993995614,-684.1001413952781,373.7221713358603,-450.0118114147272,-15.143055237353588,16.3831628-1490.7718-246.97995581680118,-121.08597426254063,532.7660736367889,311.2922532639023,-406.03790294154146,28.596943623737232,10.282068183085894
-246.97995581680118,-121.08597426254063,532.7660736367889,311.2922532639023,-406.03790294154146,28.596943623737232,10.282068183085894
-246.97995581680118,-121.08597426254063,532.7660736367889,311.2922532639023,-406.03790294154146,28.596943623737232,10.282068183085894
-246.97995581680118,-121.08597426254063,532.7660736367889,311.2922532639023,-406.03790294154146,28.596943623737232,10.282068183085894
-246.97995581680118,-121.08597426254063,532.7660736367889,311.2922532639023,-406.03790294154146,28.596943623737232,10.282068183085894
-246.97995581680118,-121.08597426254063,532.7660736367889,311.2922532639023,-406.03790294154146,28.596943623737232,10.282068183085894
-246.97995581680118,-121.08597426254063,532.7660736367889,311.2922532639023,-406.03790294154146,28.596943623737232,10.282068183085894
-246.97995581680118,-121.08597426254063,532.7660736367889,311.2922532639023,-406.03790294154146,28.596943623737232,10.282068183085894
-246.97995581680118,-121.08597426254063,532.7660736367889,311.2922532639023,-406.03790294154146,28.596943623737232,10.282068183085894
-246.97995581680118,-121.08597426254063,532.7660736367889,311.2922532639023,-406.03790294154146,28.596943623737232,10.282068183085894
-71.08310624600495,-245.25618832980985,-4.963463500997069,314.714320280397,-260.59049263761256,7.158120696743519,9.614706501067074
-71.08310624600495,-245.25618832980985,-4.963463500997069,314.714320280397,-260.59049263761256,7.158120696743519,9.614706501067074
-71.08310624600495,-245.25618832980985,-4.963463500997069,314.714320280397,-260.59049263761256,7.158120696743519,9.614706501067074
-71.08310624600495,-245.25618832980985,-4.963463500997069,314.714320280397,-260.59049263761256,7.158120696743519,9.614706501067074
-71.08310624600495,-245.25618832980985,-4.963463500997069,314.714320280397,-260.59049263761256,7.158120696743519,9.614706501067074
-71.08310624600495,-245.25618832980985,-4.963463500997069,314.714320280397,-260.59049263761256,7.158120696743519,9.614706501067074
-71.08310624600495,-245.25618832980985,-4.963463500997069,314.714320280397,-260.59049263761256,7.158120696743519,9.614706501067074
-71.08310624600495,-245.25618832980985,-4.963463500997069,314.714320280397,-260.59049263761256,7.158120696743519,9.614706501067074
-71.08310624600495,-245.25618832980985,-4.963463500997069,314.714320280397,-260.59049263761256,7.158120696743519,9.614706501067074
-71.08310624600495,-245.25618832980985,-4.963463500997069,314.714320280397,-260.59049263761256,7.158120696743519,9.614706501067074
-186.74814961930832,-253.8195778309421,80.94163691866065,289.58092977484665,-139.27345738607286,5.222122063900475,8.452515727976412
-186.74814961930832,-253.8195778309421,80.94163691866065,289.58092977484665,-139.27345738607286,5.222122063900475,8.452515727976412
-186.74814961930832,-253.8195778309421,80.94163691866065,289.58092977484665,-139.27345738607286,5.222122063900475,8.452515727976412
-186.74814961930832,-253.8195778309421,80.94163691866065,289.58092977484665,-139.27345738607286,5.222122063900475,8.452515727976412
-186.74814961930832,-253.8195778309421,80.94163691866065,289.58092977484665,-139.27345738607286,5.222122063900475,8.452515727976412
-186.74814961930832,-253.8195778309421,80.94163691866065,289.58092977484665,-139.27345738607286,5.222122063900475,8.452515727976412
-186.74814961930832,-253.8195778309421,80.94163691866065,289.58092977484665,-139.27345738607286,5.222122063900475,8.452515727976412
-186.74814961930832,-253.8195778309421,80.94163691866065,289.58092977484665,-139.27345738607286,5.222122063900475,8.452515727976412
-186.74814961930832,-253.8195778309421,80.94163691866065,289.58092977484665,-139.27345738607286,5.222122063900475,8.452515727976412
-186.74814961930832,-253.8195778309421,80.94163691866065,289.58092977484665,-139.27345738607286,5.222122063900475,8.452515727976412
-172.79864192971831,-249.02698967857583,-10.535315668845245,243.5239158660196,-61.18946225875912,0.7596168104900075,8.0862673794012
-172.79864192971831,-249.02698967857583,-10.535315668845245,243.5239158660196,-61.18946225875912,0.7596168104900075,8.0862673794012
-172.79864192971831,-249.02698967857583,-10.535315668845245,243.5239158660196,-61.18946225875912,0.7596168104900075,8.0862673794012
-172.79864192971831,-249.02698967857583,-10.535315668845245,243.5239158660196,-61.18946225875912,0.7596168104900075,8.0862673794012
-172.79864192971831,-249.02698967857583,-10.535315668845245,243.5239158660196,-61.18946225875912,0.7596168104900075,8.0862673794012
-172.79864192971831,-249.02698967857583,-10.535315668845245,243.5239158660196,-61.18946225875912,0.7596168104900075,8.0862673794012
-172.79864192971831,-249.02698967857583,-10.535315668845245,243.5239158660196,-61.18946225875912,0.7596168104900075,8.0862673794012
-172.79864192971831,-249.02698967857583,-10.535315668845245,243.5239158660196,-61.18946225875912,0.7596168104900075,8.0862673794012
-172.79864192971831,-249.02698967857583,-10.535315668845245,243.5239158660196,-61.18946225875912,0.7596168104900075,8.0862673794012
-172.79864192971831,-249.02698967857583,-10.535315668845245,243.5239158660196,-61.18946225875912,0.7596168104900075,8.0862673794012
-183.68899308093802,-218.50140901079752,-25.27524507264576,187.26809392925264,-19.344299370128986,1.3095771635880937,7.510459310856926
-183.68899308093802,-218.50140901079752,-25.27524507264576,187.26809392925264,-19.344299370128986,1.3095771635880937,7.510459310856926
-183.68899308093802,-218.50140901079752,-25.27524507264576,187.26809392925264,-19.344299370128986,1.3095771635880937,7.510459310856926
-183.68899308093802,-218.50140901079752,-25.27524507264576,187.26809392925264,-19.344299370128986,1.3095771635880937,7.510459310856926
-183.68899308093802,-218.50140901079752,-25.27524507264576,187.26809392925264,-19.344299370128986,1.3095771635880937,7.510459310856926
-183.68899308093802,-218.50140901079752,-25.27524507264576,187.26809392925264,-19.344299370128986,1.3095771635880937,7.510459310856926
-183.68899308093802,-218.50140901079752,-25.27524507264576,187.26809392925264,-19.344299370128986,1.3095771635880937,7.510459310856926
-183.68899308093802,-218.50140901079752,-25.27524507264576,187.26809392925264,-19.344299370128986,1.3095771635880937,7.510459310856926
-183.68899308093802,-218.50140901079752,-25.27524507264576,187.26809392925264,-19.344299370128986,1.3095771635880937,7.510459310856926
-183.68899308093802,-218.50140901079752,-25.27524507264576,187.26809392925264,-19.344299370128986,1.3095771635880937,7.510459310856926
-173.77515045559238,-175.92453105929565,-47.49774000344226,131.8745533217656,-0.08653820725169159,2.2532779629634407,6.949496164636371
-173.77515045559238,-175.92453105929565,-47.49774000344226,131.8745533217656,-0.08653820725169159,2.2532779629634407,6.949496164636371
-173.77515045559238,-175.92453105929565,-47.49774000344226,131.8745533217656,-0.08653820725169159,2.2532779629634407,6.949496164636371
-173.77515045559238,-175.92453105929565,-47.49774000344226,131.8745533217656,-0.08653820725169159,2.2532779629634407,6.949496164636371
-173.77515045559238,-175.92453105929565,-47.49774000344226,131.8745533217656,-0.08653820725169159,2.2532779629634407,6.949496164636371
-173.77515045559238,-175.92453105929565,-47.49774000344226,131.8745533217656,-0.08653820725169159,2.2532779629634407,6.949496164636371
-173.77515045559238,-175.92453105929565,-47.49774000344226,131.8745533217656,-0.08653820725169159,2.2532779629634407,6.949496164636371
-173.77515045559238,-175.92453105929565,-47.49774000344226,131.8745533217656,-0.08653820725169159,2.2532779629634407,6.949496164636371
-173.77515045559238,-175.92453105929565,-47.49774000344226,131.8745533217656,-0.08653820725169159,2.2532779629634407,6.949496164636371
-173.77515045559238,-175.92453105929565,-47.49774000344226,131.8745533217656,-0.08653820725169159,2.2532779629634407,6.949496164636371
-161.53607620316907,-127.55469508305114,-54.65243153759926,82.99557360620113,7.220857761609415,3.20867642-517.9787280162491,128.91360-161.53607620316907,-127.55469508305114,-54.65243153759926,82.99557360620113,7.220857761609415,3.2086764277366298,6.350742343116142
