Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Joint 7
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1076.4963227295898,0.0,-2373.42865275813,1185.0,2120.8219491037503,7.787872180647619e-13
0.0,1076.4963227295898,0.0,-2373.42865275813,1185.0,2120.8219491037503,7.787872180647619e-13
0.0,1076.4963227295898,0.0,-2373.42865275813,1185.0,2120.8219491037503,7.787872180647619e-13
0.0,1076.4963227295898,0.0,-2373.42865275813,1185.0,2120.8219491037503,7.787872180647619e-13
0.0,1076.4963227295898,0.0,-2373.42865275813,1185.0,2120.8219491037503,7.787872180647619e-13
0.0,1076.4963227295898,0.0,-2373.42865275813,1185.0,2120.8219491037503,7.787872180647619e-13
0.0,1076.4963227295898,0.0,-2373.42865275813,1185.0,2120.8219491037503,7.787872180647619e-13
0.0,1076.4963227295898,0.0,-2373.42865275813,1185.0,2120.8219491037503,7.787872180647619e-13
0.0,1076.4963227295898,0.0,-2373.42865275813,1185.0,2120.8219491037503,7.787872180647619e-13
0.0,1076.4963227295898,0.0,-2373.42865275813,1185.0,2120.8219491037503,7.787872180647619e-13
-88.05877862048116,4378.9565756788115,-59.43176180686482,4788.991274927316,-341.81204452739183,-365.4411003257932,-5.166517619422756
-88.05877862048116,4378.9565756788115,-59.43176180686482,4788.991274927316,-341.81204452739183,-365.4411003257932,-5.166517619422756
-88.05877862048116,4378.9565756788115,-59.43176180686482,4788.991274927316,-341.81204452739183,-365.4411003257932,-5.166517619422756
-88.05877862048116,4378.9565756788115,-59.43176180686482,4788.991274927316,-341.81204452739183,-365.4411003257932,-5.166517619422756
-88.05877862048116,4378.9565756788115,-59.43176180686482,4788.991274927316,-341.81204452739183,-365.4411003257932,-5.166517619422756
-88.05877862048116,4378.9565756788115,-59.43176180686482,4788.991274927316,-341.81204452739183,-365.4411003257932,-5.166517619422756
-88.05877862048116,4378.9565756788115,-59.43176180686482,4788.991274927316,-341.81204452739183,-365.4411003257932,-5.166517619422756
-88.05877862048116,4378.9565756788115,-59.43176180686482,4788.991274927316,-341.81204452739183,-365.4411003257932,-5.166517619422756
-88.05877862048116,4378.9565756788115,-59.43176180686482,4788.991274927316,-341.81204452739183,-365.4411003257932,-5.166517619422756
-88.05877862048116,4378.9565756788115,-59.43176180686482,4788.991274927316,-341.81204452739183,-365.4411003257932,-5.166517619422756
-271.19299922946357,777.6571427579693,-480.9924294858993,1185.081300697792,-485.81435443268833,-614.5501169652164,6.047063177818757
-271.19299922946357,777.6571427579693,-480.9924294858993,1185.081300697792,-485.81435443268833,-614.5501169652164,6.047063177818757
